city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90002,262000,860.0,2.0,2.0
Los Angeles,CA,90002,551000,3123.0,0,NA
Los Angeles,CA,90002,356000,1650.0,4.0,2.0
Los Angeles,CA,90002,485000,2517.0,7.0,4.0
Los Angeles,CA,90002,280000,674.0,2.0,1.0
Los Angeles,CA,90002,389000,1500.0,4.0,3.0
Los Angeles,CA,90002,275000,662.0,2.0,1.0
Los Angeles,CA,90002,399900,2163.0,4.0,3.0
Los Angeles,CA,90002,346000,1436.0,3.0,1.0
Los Angeles,CA,90002,323000,1194.0,1.0,1.0
Los Angeles,CA,90002,339000,1045.0,2.0,1.0
Los Angeles,CA,90002,286000,744.0,2.0,1.0
Los Angeles,CA,90002,361000,1454.0,4.0,2.0
Los Angeles,CA,90002,324000,936.0,2.0,2.0
Los Angeles,CA,90002,324000,1140.0,3.0,1.0
Los Angeles,CA,90002,449000,1884.0,4.0,2.0
Los Angeles,CA,90002,365000,1900.0,3.0,2.0
Los Angeles,CA,90002,298000,990.0,2.0,1.0
Los Angeles,CA,90002,351000,1367.0,3.0,2.0
Los Angeles,CA,90002,339000,1235.0,4.0,2.0
Los Angeles,CA,90002,335000,972.0,3.0,1.0
Los Angeles,CA,90002,399999,1629.0,0,NA
Los Angeles,CA,90002,389000,1500.0,4.0,3.0
Los Angeles,CA,90002,382000,1694.0,4.0,2.0
Los Angeles,CA,90002,459000,1699.0,0,NA
Los Angeles,CA,90002,287000,844.0,2.0,1.0
Los Angeles,CA,90002,435000,2280.0,6.0,4.0
Los Angeles,CA,90002,314998,899.0,3.0,2.0
Los Angeles,CA,90002,405000,1239.0,4.0,2.0
Los Angeles,CA,90002,380000,1308.0,4.0,1.0
Los Angeles,CA,90002,351000,1350.0,4.0,2.0
Los Angeles,CA,90002,419900,972.0,3.0,1.0
Los Angeles,CA,90002,400000,1350.0,4.0,2.0
Los Angeles,CA,90002,349000,1262.0,3.0,2.0
Los Angeles,CA,90002,335000,972.0,3.0,1.0
Los Angeles,CA,90002,399000,1527.0,4.0,2.0
Los Angeles,CA,90002,389000,1098.0,0,NA
Los Angeles,CA,90002,311000,972.0,2.0,1.0
Los Angeles,CA,90002,349900,1013.0,0,NA
Los Angeles,CA,90002,314900,828.0,2.0,1.0
Los Angeles,CA,90002,545000,3310.0,6.0,4.0
Los Angeles,CA,90002,350000,1642.0,0,NA
Los Angeles,CA,90002,359000,971.0,2.0,1.0
Los Angeles,CA,90002,450000,1845.0,3.0,NA
Los Angeles,CA,90002,435000,1482.0,0,NA
Los Angeles,CA,90002,399900,1386.0,0,NA
Los Angeles,CA,90002,460000,1736.0,4.0,3.0
Los Angeles,CA,90002,429999,1332.0,0,NA
Los Angeles,CA,90002,535000,2369.0,0,NA
Los Angeles,CA,90002,789000,4668.0,0,NA
Los Angeles,CA,90002,NA,1141.0,3.0,1.0
Los Angeles,CA,90002,NA,1014.0,3.0,1.0
Los Angeles,CA,90002,NA,3310.0,6.0,4.0
Los Angeles,CA,90002,NA,1774.0,5.0,2.0
Los Angeles,CA,90002,NA,1141.0,3.0,1.0
Los Angeles,CA,90002,NA,1013.0,2.0,2.0
Los Angeles,CA,90002,NA,1963.0,7.0,3.0
Los Angeles,CA,90002,NA,1334.0,3.0,2.0
Los Angeles,CA,90002,NA,1694.0,4.0,2.0
Los Angeles,CA,90002,NA,2300.0,8.0,4.0
Los Angeles,CA,90002,NA,2486.0,6.0,2.0
Los Angeles,CA,90002,NA,3120.0,6.0,3.0
Los Angeles,CA,90002,NA,920.0,3.0,1.0
Los Angeles,CA,90002,NA,1350.0,4.0,2.0
Los Angeles,CA,90002,NA,1188.0,3.0,2.0
Los Angeles,CA,90002,NA,1499.0,2.0,2.0
Los Angeles,CA,90002,NA,2050.0,5.0,2.0
Los Angeles,CA,90002,NA,1763.0,5.0,2.0
Los Angeles,CA,90002,NA,1280.0,4.0,2.0
Los Angeles,CA,90002,NA,1170.0,3.0,2.0
Los Angeles,CA,90002,NA,1079.0,3.0,1.0
Los Angeles,CA,90002,NA,576.0,1.0,1.0
Los Angeles,CA,90002,NA,844.0,2.0,1.0
Los Angeles,CA,90002,NA,912.0,3.0,1.0
Los Angeles,CA,90002,NA,1311.0,4.0,2.0
Los Angeles,CA,90002,NA,1032.0,3.0,1.0
Los Angeles,CA,90002,NA,2244.0,8.0,4.0
Los Angeles,CA,90002,NA,1407.0,3.0,2.0
Los Angeles,CA,90002,NA,972.0,3.0,1.0
Los Angeles,CA,90002,NA,1013.0,2.0,2.0
Los Angeles,CA,90002,NA,780.0,2.0,1.0
Los Angeles,CA,90002,NA,720.0,2.0,1.0
Los Angeles,CA,90002,NA,1120.0,2.0,1.0
Los Angeles,CA,90002,NA,1665.0,4.0,2.0
Los Angeles,CA,90002,NA,1774.0,5.0,2.0
Los Angeles,CA,90002,NA,1416.0,4.0,2.0
Los Angeles,CA,90002,NA,796.0,3.0,1.0
Los Angeles,CA,90002,NA,1262.0,2.0,1.0
Los Angeles,CA,90002,NA,997.0,3.0,1.0
Los Angeles,CA,90002,NA,710.0,2.0,1.0
Los Angeles,CA,90002,NA,1120.0,3.0,1.0
Los Angeles,CA,90002,NA,1040.0,3.0,1.0
Los Angeles,CA,90002,NA,1508.0,4.0,3.0
Los Angeles,CA,90002,NA,1030.0,3.0,1.0
Los Angeles,CA,90002,NA,554.0,1.0,1.0
Los Angeles,CA,90002,NA,2182.0,5.0,3.0
Los Angeles,CA,90003,699000,3695.0,8.0,6.0
Los Angeles,CA,90003,585000,3128.0,0,NA
Los Angeles,CA,90003,335000,709.0,2.0,1.0
Los Angeles,CA,90003,540000,1939.0,5.0,4.0
Los Angeles,CA,90003,399999,1498.0,0,NA
Los Angeles,CA,90003,429900,1040.0,0,NA
Los Angeles,CA,90003,443000,1320.0,0,NA
Los Angeles,CA,90003,335750,689.0,2.0,1.0
Los Angeles,CA,90003,384500,941.0,3.0,2.0
Los Angeles,CA,90003,299997,1272.0,0,NA
Los Angeles,CA,90003,449500,1400.0,4.0,2.0
Los Angeles,CA,90003,499998,1920.0,0,NA
Los Angeles,CA,90003,499000,2076.0,5.0,2.0
Los Angeles,CA,90003,450000,1470.0,0,NA
Los Angeles,CA,90003,850000,3953.0,0,NA
Los Angeles,CA,90003,579000,1950.0,0,NA
Los Angeles,CA,90003,332000,1229.0,2.0,1.0
Los Angeles,CA,90003,369999,1000.0,3.0,1.0
Los Angeles,CA,90003,699900,4740.0,16.0,8.0
Los Angeles,CA,90003,400000,1600.0,5.0,2.0
Los Angeles,CA,90003,370000,1072.0,2.0,1.0
Los Angeles,CA,90003,440000,1560.0,4.0,2.0
Los Angeles,CA,90003,775000,3150.0,0,NA
Los Angeles,CA,90003,500000,1898.0,0,NA
Los Angeles,CA,90003,690000,2655.0,8.0,4.0
Los Angeles,CA,90003,719900,3636.0,8.0,4.0
Los Angeles,CA,90003,349999,960.0,2.0,1.0
Los Angeles,CA,90003,549000,2030.0,0,NA
